x,y,forest_type_2020
175.0881617,-41.14953246,255
175.0882515,-41.14953246,255
175.0883413,-41.14953246,255
175.0884312,-41.14953246,255
175.0865447,-41.14962229,255
175.0866345,-41.14962229,255
175.0867244,-41.14962229,255
175.0868142,-41.14962229,255
175.086904,-41.14962229,0
175.0869939,-41.14962229,0
175.0870837,-41.14962229,0
175.0871735,-41.14962229,0
175.0872633,-41.14962229,0
175.0873532,-41.14962229,0
175.087443,-41.14962229,0
175.0875328,-41.14962229,0
175.0876227,-41.14962229,0
175.0877125,-41.14962229,0
175.0878023,-41.14962229,0
175.0878922,-41.14962229,255
175.087982,-41.14962229,255
175.0880718,-41.14962229,255
175.0881617,-41.14962229,255
175.0882515,-41.14962229,255
175.0883413,-41.14962229,255
175.0884312,-41.14962229,255
175.0865447,-41.14971212,255
175.0866345,-41.14971212,255
175.0867244,-41.14971212,255
175.0868142,-41.14971212,255
175.086904,-41.14971212,0
175.0869939,-41.14971212,0
175.0870837,-41.14971212,0
175.0871735,-41.14971212,0
175.0872633,-41.14971212,0
175.0873532,-41.14971212,0
175.087443,-41.14971212,0
175.0875328,-41.14971212,0
175.0876227,-41.14971212,0
175.0877125,-41.14971212,0
175.0878023,-41.14971212,0
175.0878922,-41.14971212,0
175.087982,-41.14971212,255
175.0880718,-41.14971212,255
175.0881617,-41.14971212,255
175.0882515,-41.14971212,255
175.0883413,-41.14971212,255
175.0884312,-41.14971212,255
175.0865447,-41.14980196,255
175.0866345,-41.14980196,255
175.0867244,-41.14980196,255
175.0868142,-41.14980196,255
175.086904,-41.14980196,0
175.0869939,-41.14980196,0
175.0870837,-41.14980196,0
175.0871735,-41.14980196,0
175.0872633,-41.14980196,0
175.0873532,-41.14980196,0
175.087443,-41.14980196,0
175.0875328,-41.14980196,0
175.0876227,-41.14980196,0
175.0877125,-41.14980196,0
175.0878023,-41.14980196,1
175.0878922,-41.14980196,1
175.087982,-41.14980196,1
175.0880718,-41.14980196,0
175.0881617,-41.14980196,255
175.0882515,-41.14980196,255
175.0883413,-41.14980196,255
175.0884312,-41.14980196,255
175.0865447,-41.14989179,255
175.0866345,-41.14989179,255
175.0867244,-41.14989179,255
175.0868142,-41.14989179,255
175.086904,-41.14989179,0
175.0869939,-41.14989179,0
175.0870837,-41.14989179,0
175.0871735,-41.14989179,0
175.0872633,-41.14989179,0
175.0873532,-41.14989179,0
175.087443,-41.14989179,0
175.0875328,-41.14989179,0
175.0876227,-41.14989179,0
175.0877125,-41.14989179,1
175.0878023,-41.14989179,1
175.0878922,-41.14989179,1
175.087982,-41.14989179,1
175.0880718,-41.14989179,0
175.0881617,-41.14989179,0
175.0882515,-41.14989179,255
175.0883413,-41.14989179,255
175.0884312,-41.14989179,255
175.0865447,-41.14998162,255
175.0866345,-41.14998162,255
175.0867244,-41.14998162,255
175.0868142,-41.14998162,255
175.086904,-41.14998162,0
175.0869939,-41.14998162,0
175.0870837,-41.14998162,0
175.0871735,-41.14998162,0
175.0872633,-41.14998162,0
175.0873532,-41.14998162,0
175.087443,-41.14998162,0
175.0875328,-41.14998162,0
175.0876227,-41.14998162,0
175.0877125,-41.14998162,1
175.0878023,-41.14998162,1
175.0878922,-41.14998162,1
175.087982,-41.14998162,1
175.0880718,-41.14998162,1
